id,length,width,lips_width,nose_length,nose_width,eye_distance
296814969_3,5.486346775960932,5.758929799903095,4.5859266247875325,4.602068370508428,4.063866404314938,4.866656728202372
296814969_3,5.554916558496044,5.712859758374467,4.617935560773005,4.613272253179005,4.072603641668722,4.7820884401892485
296814969_3,5.577876686259282,5.492400483029475,4.547280963478704,4.513542336995086,3.8605094657340286,4.690554576830016
296814969_3,5.582997689842988,5.691544541179037,4.568938382315713,4.5302605388237644,4.19917164842823,4.6913351773166605
296814969_3,5.687951593284923,5.617551423624842,4.6075329529977385,4.613078119343831,4.147590475847423,4.808759257003113
296814969_3,5.394453510982345,5.552862755920925,4.559007245618089,4.346882677006774,4.07056637809248,4.9049566917236245
296814969_3,5.535433457788115,5.736823935867561,4.549883700521715,4.685443520265379,4.195765961982174,4.699200465980707
296814969_3,5.543986218565137,5.619521862322292,4.704651154096862,4.634367919367005,3.9853509625941643,4.598919773021408
296814969_3,5.515777252233358,5.70775770726734,4.829179756791106,4.482610171872744,4.157409784624142,4.789333764549799
296814969_3,5.539852658279215,5.851646440637488,4.641988534327143,4.693048395890756,3.990399541092785,4.809232503406471
296814969_3,5.727096882348805,5.727249050779535,4.6659582937036825,4.384445824930953,4.091779144772828,4.801319992136058
296814969_3,5.565088713126397,5.506592873032745,4.63778706646917,4.413413240509274,4.0420470634357875,4.70083807880628
296814969_3,5.402830332788067,5.596109874090182,4.606064757498097,4.729112659839461,4.191059943216223,4.911614872662365
296814969_3,5.501991475780276,5.559753456013756,4.696311013262444,4.408953480184796,3.994821589989663,4.708048599923777
296814969_3,5.467350219637449,5.729458504610912,4.6699257444013185,4.582275876224813,4.071821803587732,4.750612947418977
296814969_3,5.42759888948261,5.634828069199416,4.811615818325697,4.49091899408266,4.0311649482940215,4.994150787409342
296814969_3,5.420236883844039,5.71629006292449,4.480340520041539,4.6946333402463765,4.154483765231532,4.8757490176178475
296814969_3,5.662688544395542,5.791123303761902,4.700804145884246,4.606603188318405,3.7839287124117096,4.781847406664956
296814969_3,5.506986004651343,5.575152057231756,4.718451302503308,4.531871776707407,4.060723269844114,4.786567052534866
296814969_3,5.43644141586155,5.591968260917878,4.55645032983852,4.635484919868751,4.092721754431745,4.781856355144715
296814969_3,5.456946477413836,5.670702255454225,4.495521224913091,4.670237656275449,3.986991954453175,4.653056177626183
296814969_3,5.497613277252057,5.6300362798068795,4.5820208971564,4.582542682910341,3.952481266015461,4.60485774502635
296814969_3,5.640388617007532,5.6666231060108805,4.59672605732798,4.419430250617901,3.9749925581793373,4.728315379043441
296814969_3,5.590695748012301,5.584856373580192,4.842240560808927,4.385818278342493,4.012289853777145,4.97184026951582
296814969_3,5.6788356208123725,5.800992228008386,4.782020463163337,4.638377954288617,4.229051122449868,4.798220735217448
296814969_3,5.574565812208274,5.472411236618105,4.607878527235542,4.602647588127152,4.099908834871547,4.696225046075235
296814969_3,5.517677672804136,5.844046940811253,4.509407325496324,4.634711740692404,4.267535254608165,4.846316859117154
296814969_3,5.577549051686084,5.554535130334862,4.692647529799894,4.621933187312433,3.9544751714342667,4.969863836028742
296814969_3,5.520639111511191,5.740444146136154,4.591590797786429,4.436824102543448,4.094638854681691,4.8769189455499315
296814969_3,5.573521842840398,5.690512135733315,4.597873061278364,4.6068311249003715,4.009982657378231,4.7499901325896685
2968560214_1,6.198736909493654,6.175632134572624,5.423364529717414,5.527209462433636,4.710687036835844,5.621961900617553
2968560214_1,6.2204322196317,6.28164205953848,5.309834838042882,5.358706953104598,4.614886176224824,5.5159782438738745
2968560214_1,6.222711827628213,6.372372413001366,5.528423916066937,5.299307334755587,4.443825583080989,5.394589580361075
2968560214_1,6.21364520186093,6.264209907854772,5.391353187813251,5.211279887638275,4.5572875517698765,5.670884017231156
2968560214_1,6.270506129435157,6.251717868420982,5.527972973321197,5.241925805377079,4.5229165378768235,5.477317574659681
2968560214_1,6.232297894954705,6.3749070436127235,5.5492137043011995,5.0634387524464,4.675055680518906,5.648032971385494
2968560214_1,6.422014097024042,6.274175128710037,5.430181004868935,5.351373652638792,4.718344849881618,5.748806323404611
2968560214_1,6.394531591453636,6.349180486408413,5.524468655170597,5.290747200564341,4.818505519064004,5.4627506299241535
2968560214_1,6.137496362173357,6.486474720234028,5.255067652799646,5.292057594181262,4.576623703434574,5.641487878289403
2968560214_1,6.358909221663967,6.350420163076844,5.189621447347706,5.293107634939276,4.555281737761557,5.7315427813709965
2968560214_1,6.265941822790155,6.11560519524161,5.266951366411378,5.40664141276217,4.679612882011231,5.372702179453473
2968560214_1,6.393581644983556,6.318497665767388,5.423824726114456,5.277528585018788,4.669839464238509,5.530499805459918
2968560214_1,6.368584170990969,6.308052370090828,5.335053228364635,5.400172882079357,4.921864307492174,5.642250179876793
2968560214_1,6.199848619786046,6.3018578454174365,5.420345676262034,5.284390730053047,4.684970713623584,5.415214210826624
2968560214_1,6.290649554470646,6.275560251035414,5.568229326687049,5.367859662267113,4.619663915948098,5.561651679675689
2968560214_1,6.173635726956998,6.37849369797772,5.365780688667825,5.4691218022633725,4.633726535885362,5.615688720969539
2968560214_1,6.240399061864027,6.288020041141655,5.280305810232217,5.385811479212446,4.764324916519019,5.482876150654895
2968560214_1,6.379903725870959,6.320403932563402,5.480845540591918,5.3594581879325105,4.800308840959424,5.572583125971366
2968560214_1,6.199578853977675,6.385687728116091,5.390705029999038,5.272412420213781,4.707909764734575,5.56657406610131
2968560214_1,6.306364198052477,6.3146265289828944,5.337565456338688,5.336299232833852,4.579191954090731,5.42867307551886
2968560214_1,6.207049920769149,6.337468991260673,5.432348917242972,5.236697176049274,4.627444371088962,5.585727287832225
2968560214_1,6.295243736905242,6.346615769230348,5.462937498003812,5.180269948372197,4.638180878275152,5.546839807687091
2968560214_1,6.045406364394962,6.177268281490986,5.373844242561335,5.362588014943119,4.377410472823171,5.484730450630788
2968560214_1,6.2561075241926485,6.192445560957094,5.3692649901386895,5.421977890688688,4.579241228657787,5.601007501293848
2968560214_1,6.312543555346361,6.6082705309238925,5.249830865555027,5.17859754985563,4.781350509184467,5.531067366637355
2968560214_1,6.226435111265633,6.241984943410562,5.443731874216666,5.2583379683560665,4.495198337682517,5.565357827167604
2968560214_1,6.121196361424741,6.366533453503761,5.400486828904452,5.167231343690545,4.589044987786354,5.560902144341628
2968560214_1,6.445699322068986,6.416166498570016,5.42085923352597,5.445205134721182,4.632184177785191,5.398426516525748
2968560214_1,6.339382107764939,6.2716797808694995,5.320380490317304,5.3453617495005865,4.709785593958378,5.689630006991468
2968560214_1,6.158970033042313,6.412978495715222,5.339692198512636,5.332582065217309,4.606042854199532,5.491345926670271
